,Site1,Site2,Site3,Site4,Site5,Site6,Site7
0,8.576291594410122,2063.975334943569,2496.5442981721294,2883.0071125042546,2696.5910098756412,2952.5722607781545,3329.9940453634313
1,1148.931596934096,1226.8654515757978,1219.8888742581098,3087.944539493422,844.2526764679583,3523.938466366954,3122.7797104189845
2,0.0,1287.797631926151,165.486194203786,1869.1271004181688,0.0,3462.5449706419017,2467.0132928092594
3,0.0,653.6435388144064,2216.4704541162473,3533.0557949425956,625.7216004787101,4243.983776237668,3907.1985203696736
4,1996.4740055514608,2418.7287813152225,1395.54009633136,2735.132245341744,3001.8097328197277,2502.257939114793,2131.5231997513497
5,0.0,807.7561783343058,264.0973974951312,2231.0787173938215,1737.1611135524297,3349.7952682522196,3489.6990901277363
6,601.5307738473862,1880.7737720085456,2783.9737118632224,3365.8113040483167,2702.3142516235084,3353.154092448771,3594.6121760378396
7,0.0,0.0,1854.840886821619,3460.4665990006997,5889.966605811892,3648.5274774977074,3624.3322227020726
8,2858.2544336332094,3189.7391436320377,3969.688332941307,3241.7530890714193,3382.191382076013,3535.9562521933667,3391.6647499637024
9,2549.591251172414,2209.731198012833,2533.4476129911036,2072.836733821219,2365.476827243568,2127.754066390926,2936.3084561969745
10,0.0,1992.5717725110298,2904.1677561278634,3398.1286732528806,2977.3760683069754,3389.587324285034,3621.5470084370286
11,2766.8408373518223,3336.3397106059424,3199.2362626405907,3561.1845086590547,3661.115051887027,3660.6786863008797,3646.705105246635
12,2701.9134106353317,2965.497760489063,3287.5299106539305,3727.9114675368432,3409.3730636553228,3362.0292945957526,2902.7852719841567
13,0.0,0.0,1159.051354788996,1593.8256941730592,349.2513301864219,887.6331350216296,1378.751382506629
14,2196.786333398239,3304.8571745431614,2190.5061874056623,3471.5804210029255,2228.07526882988,3525.3115577581216,3472.0578168165966
15,0.0,0.0,1707.7770880779037,3201.8388800560224,2271.7076888182683,3484.7506401981013,3372.3922574782337
16,28.108731620284743,33.34532594121856,901.8464558231431,1834.933426825442,0.0,2415.5674937631093,3145.053305708004
17,1771.0680839638549,2661.6438193627255,3079.310961428615,3746.2926435546724,2997.784621685916,4052.7582336489686,3986.012796109902
18,2359.0041055160027,1297.167874024642,1058.595215913002,3124.7550391617215,2357.370109202282,3288.681390973506,3062.0111165522458
19,2180.4961756014263,2631.8819798622426,2650.3904953841734,3705.9207371983057,3061.693188270031,4108.1981246933565,3950.464756469607
20,2700.357647561258,3015.522061661891,3258.0467018819477,4305.403640013843,2621.1262162875746,4656.440556297998,4625.026869017366
21,1941.2635051663756,1774.5295580208779,1181.0480482227395,564.3780877556987,1925.3648496925252,2707.5979944061455,3469.4104781298042
22,2828.883132888574,3001.6622449001716,1861.4217192915905,2610.4979898935326,1582.3476465796807,3343.5183281238287,2778.961965515071
23,1366.1612521356892,1828.9414515384483,976.545081509229,3613.4219550895523,1792.1245234454013,1515.8579306513948,2155.6595223428903
24,2208.6756535969675,2697.9192866052726,3555.065648085666,3958.8443076185645,3849.454189473051,4358.969134818607,4785.017850160103
25,2029.0796643540612,2872.2010798337465,1451.1650919897115,4044.535053365713,3368.2864671620478,4068.5331968733753,3741.696713114983
26,463.69644418378175,404.1115860107302,2467.4045893331954,3834.7954515322276,3689.71294821179,4848.267284097454,5438.832578029655
27,941.2314399687025,3076.0721262482666,1805.1602352689583,0.0,1004.3888272813147,1597.0255119334583,2134.3128001276045
28,3215.0444561125873,3413.0193356130294,3614.2550006016713,3845.5625412500367,515.3905235854718,3504.0422865610262,3528.7683276189364
29,3079.9667935850757,2772.4905786487006,3564.626861033491,3787.1211839432544,3170.708954673155,3897.872403324006,1942.8604591524863
30,0.0,0.0,1653.457585724832,372.2453092347687,194.6238691995959,1661.431310282272,331.67816141016374
31,2616.937811547968,3509.609163926451,3656.2806481859147,4182.263183452982,3327.5518764955013,4382.308908966932,4329.275998989656
32,3018.8219768109916,3547.716128840552,3875.7375662637387,4384.651235810402,4095.6608662975755,4311.740170067291,4071.4681360788786
33,3557.807063630394,3495.5802722039484,3867.7715523717675,4770.039576815376,4288.384800455288,5124.186046237077,4906.241527413393
34,3648.0310952102254,3334.588377791667,4743.065338711727,5219.845898020472,5300.986749723478,4809.208500241726,4774.350740542531
35,2789.3881897071105,3873.9708659853504,4128.7766246719475,4552.933617386693,4710.901984717326,4237.311537150043,3890.2527757999833
36,3041.272159226874,3349.459243094599,4008.9986632568057,4492.708263175888,3768.0415805100542,4427.550029450769,4478.491947014382
37,3902.0460869698354,4255.875444368687,3969.2645497367657,5162.074607215714,4440.9989247606545,5123.340761589412,5059.458253133563
38,3031.185888810971,3969.081083849163,3780.232357797421,3983.6520158377944,4790.721239190161,3984.2057733695847,4505.448878259955
39,3858.6030673450614,3946.829970044293,3956.7083983576185,4989.144162643708,4704.456590259091,4863.0754252984625,5069.0167796613
40,3465.8924039119715,3014.7616904298766,3467.356860147638,4757.520779253478,4298.530100921682,4570.133458655574,4905.384594840117
41,4354.646889218181,4339.637663370771,4053.6575904464594,4572.956498742627,4520.175181655505,4719.896199983758,4495.835531332144
42,4256.459117338697,4551.415841343378,4311.672249489143,4514.819143065742,3922.4632228404344,4953.911610133786,4805.725515458824
43,4840.261076040826,5266.434479858307,4568.385441445679,4753.752354493378,3961.6214178414457,4860.238407351129,4200.004963539155
44,4884.028731346659,4816.160711820015,3912.885591852306,3345.1502657482806,4119.970095653705,3898.0934565963594,3714.7912819565954
45,3696.951194460737,4034.3026752004266,4474.785090592645,4917.953658060604,2895.9974721841363,4738.844186377108,4529.670650503532
46,3177.1316619687814,4460.946741317285,5191.626947782321,5568.443504916057,4273.167507169965,6001.564336185547,5572.528346655195
47,4138.865062211784,4108.586008209148,5306.593989452557,4977.070103946973,4438.294947218139,5204.6593918591525,4915.631583153132
48,363.72537445141006,0.0,2802.857751317356,5012.601335958959,1770.6646791209369,5624.676335086649,5377.809552314058
49,4219.715446553266,3938.8410408342343,4367.190208074813,4470.074437075958,2745.555795937297,4359.03271700394,4532.873621958292
50,4347.143359863628,4421.796813292083,4261.448396188688,4584.192810543703,3151.452996563221,4546.994437178184,3329.094692034743
51,4811.056087669447,4801.616828460229,4481.95066952939,5224.67807778529,5104.57629713068,4970.801348406794,5743.276411779074
52,4026.864412782201,4145.783730798875,4266.272565377805,5076.792813124549,4848.338095520396,5297.518910216354,5125.949024098842
53,4466.82067219714,4395.252241098447,4484.112089398866,4999.124596380307,3771.082541444585,5086.275264049851,5215.775959625775
54,4256.655479583156,4674.789425036663,4097.220401591043,5262.27109753088,5867.516641022669,4592.2029128280155,4615.895295098236
55,4744.883972631509,4552.3878013765825,5072.778568721842,5694.999435771185,6499.919689167094,5936.259600906016,5547.645285423181
56,4616.983113944033,3638.2512579166273,4685.103359322094,4573.223696394951,3345.4845978924336,5120.115386840847,5215.483646802718
57,2055.7485809910695,3788.283899794323,3256.3307221271734,4773.808084108951,4363.350991667015,4265.069093364043,4586.6253993188275
58,4295.2940871262745,3616.2236735898387,3890.751461036477,4731.561737501795,5049.185456156321,5086.629731128815,5021.862351844999
59,2953.233966570379,3591.7232318920146,3842.343849862188,5543.67841969202,4677.837148054225,5181.561244288297,4731.32315791169
60,4315.380387199626,3955.6719206350795,5082.558766753464,5203.611909522793,4781.32674943438,4867.968893681219,4879.331297210744
61,5209.637648868072,2966.451876110304,4833.321630158274,5272.427231893474,5377.22501942378,5599.652341005159,5638.706348618881
62,2400.5912247996207,2298.816773698386,4583.578465468714,5360.851123177036,4877.857141491493,5136.691859641618,5468.795366312325
63,3968.6299916040653,4192.316996205518,1286.4508221773422,2407.327517220063,2117.6019130411873,2798.88967426848,3336.6638415716807
64,4302.705399171005,4266.035915690378,4507.411951048797,4947.731866407217,4157.611014242432,4299.455880848822,3345.6506216089283
65,4039.8935192107083,4328.3503857489,5547.592801419151,6169.430983236786,6331.630802882896,5496.385069614049,5241.50595037853
66,5408.6831780119755,3348.6137549170007,1179.1597924482403,4924.439018447405,4774.506304784313,6334.779534708125,5603.143489964682
67,0.0,0.0,0.0,4779.642291767548,3117.1337949514955,5077.198032810711,5657.828248298162
68,5219.60352013744,5038.048152767185,4758.3402504979895,5350.515884985829,2193.472102624225,6046.289805838383,5029.284003840904
69,5425.090544370598,5164.289898201783,5162.948375909783,5517.107499055988,1554.7590399595265,5418.755547207469,5649.175051785229
70,4662.177142804219,5296.143178279837,5464.44279665946,5709.506407627399,0.0,5862.999636734176,5678.112304205264
71,5843.436837702887,5781.564078158981,4538.997771152908,3825.4013120325835,3423.587819359323,4878.858646618899,4739.03287058583
72,3333.5704939453162,4416.244351723357,4677.446530327457,4898.182117894855,6139.744485526025,5581.9886265036475,4470.792718550836
73,6242.030445781604,5123.883747079447,5602.848785657237,5601.943057179707,5941.666094575113,4707.406573452954,5568.207105154344
74,5397.688957858958,5781.652371336028,5795.817478976068,5275.996176194695,5704.52292415705,4740.308973518902,2824.9850500917673
75,5858.6991073295485,5759.45159300344,6149.409261636307,6549.802841748668,6084.43252603555,6355.734482552394,4851.099770741528
76,5961.177807032243,6066.67795589175,6066.255158680061,5773.296624288879,4976.51251709529,6488.577678942526,6165.431319457764
77,5537.557746170117,5068.420255836993,6269.874433272051,6314.529728918346,6367.381507903338,6685.434803852478,6827.871888126112
78,5463.07662421836,5967.834102814402,5592.934541042032,6249.623607554706,5164.474150893352,6167.750937842425,6753.47661491279
79,5218.718057821554,5402.677222070417,5585.184217128406,5852.384228669662,6265.676511936702,6567.765027222778,6392.255408852847
80,5538.8545384739555,5413.213888881415,4647.345396344475,6393.619199257491,5935.504094921403,6161.216240385749,5936.0750126055755
81,4555.486908007408,4486.443996106087,6133.574304723282,6230.939869730891,6467.260310797605,6203.986368724242,6228.978640059102
82,5561.861354283002,5279.165764090096,6314.0360199490115,6574.659543378384,6946.474087743334,6539.72160392014,6133.544022497999
83,4685.3501006032675,3956.4553212072396,5365.471641321386,6691.272213956789,6603.530140744238,6865.628863600137,6519.734773897701
